0 qid:1 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
0 qid:1 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:1 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:1 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:1 23:0.675223 844:0.043425 2628:0.000000 2895:0.015792 1144:0.218328
0 qid:1 23:0.325750 844:0.000000 2628:0.000000 2895:0.015023 1144:0.877025
0 qid:1 23:0.000000 844:0.057707 2628:0.000000 2895:0.013730 1144:0.898490
0 qid:1 23:0.475073 844:0.040924 2628:0.000000 2895:0.015001 1144:0.687364
0 qid:1 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:1 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:1 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:1 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:1 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:1 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:1 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:1 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:1 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:1 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
